district,ANN,ARIMA,BAYESIAN,DT,ELASTICNET,ET,EXP,GB,HUBER,KNN,LASSO,LINEAR,LSTM,PROPHET,RF,RIDGE,SARIMA,TBATS,XGBOOST
NANDURBAR,9.5055259268427,11.726902571800139,9.280756782223404,10.793461288408004,9.0650294813783,8.884783809037412,13.009234939881667,10.616852933901912,9.140144412637001,9.399892338436286,8.377208847938547,9.065023378821374,10.552229475245268,11.771977686190061,9.376263801533424,8.38373282881531,10.59923993427787,11.94866813326256,9.250211413829277
NASHIK,17.650422506675856,19.14332005921678,15.8652184190747,19.34938760724624,16.3283823884687,15.878418442093729,19.972942677105557,18.045641474247848,16.042242890724502,16.13850201120082,14.369984883736688,16.343853953613692,16.233713966344514,13.680144162431697,15.270656320029092,13.877318822575353,19.198619340117208,19.838929831700565,16.34115404420462
OSMANABAD,7.564222173820636,6.475899381750262,6.069094881683216,9.074823995844524,6.368028581273855,7.444876687285619,6.487319861427274,6.712772193496946,5.142602315626216,6.793848585361838,6.904495027758071,5.906876038251131,7.593484412568522,5.778875170897348,7.604188173485568,7.174168880125404,6.475899387200295,6.486947249175235,6.635975878145706
PALGHAR,,9.433047765098143,10.681326660022789,17.627643737355783,10.546623253590896,13.802179477652555,9.403873390763186,10.52512731461099,12.155571167108814,10.411031397510293,10.430797736365092,12.300741583847165,,7.589275425045351,10.983591296920045,17.460516394793636,9.593615276220676,9.543143293906855,16.25035508046088
PARBHANI,10.456357832246288,7.683860013242273,8.595499858991966,8.944962027812771,8.971608978210757,8.577436323802635,6.820047763472043,9.306772182574743,9.735522011931504,8.173277747379107,8.599608997061871,9.417900660413517,7.852514527689028,7.303915628117626,8.16824134478571,8.452357738090495,7.1950124430528035,6.841699265136509,8.315246870023453
PUNE,,15.381942811694922,30.127722475465685,83.27632117963778,48.060263160518716,46.1649463277544,15.368853002958323,91.55432070131542,44.05065479636315,66.57874668769988,48.27207627366899,49.17778384716863,,25.729053543321626,79.81923737768707,51.44004607946511,15.381942811694922,39.40313579398911,72.59592640642522
RAIGAD,8.908099738616311,7.574997848100553,8.658584566208289,6.99109331953659,7.979310943475794,6.9103808340499535,8.39377091091182,12.554846522522388,9.116054139952778,7.735245258192502,7.929797258072445,8.566700783864528,8.369538807600275,14.804661458602723,6.264075673424538,9.015406824059237,7.574997856869707,8.471186211319218,7.832075542004892
RATNAGIRI,6.545051235767338,5.958407539808874,5.9793997177547675,6.303326696090068,6.4707914489116884,6.806614838196411,5.862310822524803,6.318391151324218,5.719086594800293,6.1709424185870985,6.598272291428561,5.778223294245749,6.336752129544825,6.118276863679724,6.067842049451167,6.348528427103183,11.233881443210219,5.884242020605018,6.7039706951302955
SANGLI,9.865657947547188,8.234393318148687,8.378879808892936,10.093649091415237,8.272416235319058,9.10506116887135,8.007259739679988,8.115950889802725,8.254089784316225,9.115005135497729,8.878130933454855,8.278960410171848,8.298433336402441,16.1882734316251,9.721800361353207,10.51500497918962,24.07351516853165,9.43745435823455,9.47764234602389
SATARA,9.979603601102884,7.110935415719497,6.886838263192489,8.994459504787642,7.040821434234625,7.529322125308935,7.644600024917669,7.286271237152054,5.884576091033487,6.746293178874512,5.807458497076287,6.177045829143624,6.880472268647796,12.305945459247003,6.622704087618588,5.50024774386987,6.664890273401732,7.436638623426606,6.6511283695746375
SINDHUDURG,3.2125855032344535,2.635077051388262,2.6154879846789214,3.306099379162139,2.764696963228042,2.6254137240104125,2.6350766255859646,2.777080923855347,3.0778310836912133,2.535617337298184,2.703314668938425,3.051089353036618,2.821758798635819,2.2791577123890785,2.7668529053782387,2.7623573823005816,6.640783086353597,2.6251020533702003,3.1246466292840163
SOLAPUR,,26.44432872857488,46.571985207364875,32.00637716162742,45.01594192784416,41.689484119033075,24.035576249050596,34.51516307618779,45.99870117268079,28.2531478389894,44.87658698339866,48.289014608726355,,25.89246303539674,34.982534610542125,53.18083063731893,24.27138232569377,23.8505029271856,46.092194814631135
THANE,,22.827098678794314,14.221094673904137,18.410427096759967,17.21644512072644,16.41837877892927,21.296687857039593,11.93359694155136,22.972121641423076,13.508374827350274,17.705484544486083,17.322602758305916,,38.72904591761244,10.941328813480615,18.49132454763797,14.80625007064356,21.271827428103496,11.472098278431273
WARDHA,5.454831280157404,3.084117899395828,3.6312078017966667,3.7152719940475323,3.566065196775617,3.1976071782923343,3.7694377375371952,3.456075741129135,3.965626122960863,3.454774983573055,3.5557973413560955,3.777699082172822,3.855565400990979,4.3987006994767635,3.0599923287839865,3.771499399974925,8.683317338436964,3.7678946871461325,2.9749913764717246
WASHIM,3.662648158516811,4.062308825563296,4.205410241443234,4.272822762682777,4.300689210994645,4.015007264418501,4.133103992003331,4.14049233998248,4.653925857629058,4.38243782806698,4.279408957167284,4.44485926555546,4.1461224874074105,4.481030634257143,4.288309690309225,4.245954957628156,9.813465394980653,4.029324715310926,3.8825985901070017
YAVATMAL,6.6614415178910376,6.7439061910185805,6.683217895891599,6.573519000764656,6.670737174315928,5.558272863239283,5.999371237332443,6.420601312661658,6.87769295133821,7.788279496719099,7.591400173989711,6.867229973807019,7.221711481451807,8.32178547053916,5.674561167565686,7.691608974636189,6.883276341938879,5.912421533509251,6.145332187909973
