district,date,actual,forecast,lower_ci,upper_ci
BULDHANA,2021-02-01,4508,0.0,-6128.228560684422,6128.228560684422
BULDHANA,2021-03-01,4443,0.0,-6128.228560684422,6128.228560684422
CHANDRAPUR,2020-06-01,2500,1642.1867654062166,-1150.0384092384816,4434.411940050915
CHANDRAPUR,2020-07-01,2316,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2020-08-01,2209,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2020-09-01,2247,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2020-10-01,2187,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2020-11-01,2220,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2020-12-01,2940,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2021-01-01,3096,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2021-02-01,3083,0.0,-3898.8775137350917,3898.8775137350917
CHANDRAPUR,2021-03-01,3033,0.0,-3898.8775137350917,3898.8775137350917
DHULE,2020-06-01,3995,0.0,-7385.03729052407,7385.03729052407
DHULE,2020-07-01,3857,0.0,-7385.03729052407,7385.03729052407
DHULE,2020-08-01,3076,0.0,-7385.03729052407,7385.03729052407
DHULE,2020-09-01,3376,0.0,-7385.03729052407,7385.03729052407
DHULE,2020-10-01,3157,0.0,-7385.03729052407,7385.03729052407
DHULE,2020-11-01,3146,0.0,-7385.03729052407,7385.03729052407
DHULE,2020-12-01,3665,0.0,-7385.03729052407,7385.03729052407
DHULE,2021-01-01,3484,0.0,-7385.03729052407,7385.03729052407
DHULE,2021-02-01,3689,0.0,-7385.03729052407,7385.03729052407
DHULE,2021-03-01,3358,0.0,-7385.03729052407,7385.03729052407
GADCHIROLI,2020-06-01,1678,2132.4954656091422,1838.136215433774,2426.8547157845105
GADCHIROLI,2020-07-01,1431,1830.2073128191196,1510.4263348672553,2149.988290770984
GADCHIROLI,2020-08-01,1224,1514.3523283814334,1171.026856626283,1857.6778001365838
GADCHIROLI,2020-09-01,1361,1609.098520300125,1243.7426865545256,1974.4543540457246
GADCHIROLI,2020-10-01,1251,1511.8714202000745,1125.7401071108768,1898.002733289272
GADCHIROLI,2020-11-01,1256,1482.7473953558463,1076.9027247686454,1888.5920659430471
GADCHIROLI,2020-12-01,1632,1710.8103675101024,1286.1665139809604,2135.4542210392447
GADCHIROLI,2021-01-01,1689,1783.6767864741337,1341.031434034819,2226.3221389134483
GADCHIROLI,2021-02-01,2016,1876.865702936902,1416.9228654753638,2336.80854039844
GADCHIROLI,2021-03-01,2045,2003.0527410650657,1526.4397749927853,2479.665707137346
GONDIA,2020-06-01,1680,1841.443710131892,1505.3914996923663,2177.4959205714176
GONDIA,2020-07-01,1703,1833.9183004782626,1359.6388115222312,2308.197789434294
GONDIA,2020-08-01,1383,1826.423644841247,1246.7363584754448,2406.1109312070494
GONDIA,2020-09-01,1445,1818.9596175387123,1150.9570057844858,2486.962229292939
GONDIA,2020-10-01,1472,1811.5260934021492,1066.1947288076938,2556.8574579966044
GONDIA,2020-11-01,1519,1804.1229477745733,989.3108576009647,2618.935037948182
GONDIA,2020-12-01,1528,1796.7500565084347,918.436639581886,2675.0634734349833
GONDIA,2021-01-01,1531,1789.4072959635364,852.351692903085,2726.462899023988
GONDIA,2021-02-01,1829,1782.09454300496,790.2063789022935,2773.9827071076265
GONDIA,2021-03-01,2024,1774.8116750010017,731.3806357082954,2818.242714293708
HINGOLI,2020-06-01,1988,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2020-07-01,1886,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2020-08-01,1692,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2020-09-01,2019,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2020-10-01,1976,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2020-11-01,1722,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2020-12-01,1949,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2021-01-01,1975,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2021-02-01,2077,0.0,-3821.018463105404,3821.018463105404
HINGOLI,2021-03-01,2045,0.0,-3821.018463105404,3821.018463105404
JALGAON,2020-06-01,6888,7229.974670920621,6284.080585611537,8175.8687562297055
JALGAON,2020-07-01,6176,7301.824510278661,6335.337690208764,8268.311330348559
JALGAON,2020-08-01,5950,7153.011921645716,6166.362071843398,8139.661771448034
JALGAON,2020-09-01,6369,7305.861018107765,6299.452016329138,8312.270019886391
JALGAON,2020-10-01,6370,7056.943035313055,6031.1554200597,8082.730650566409
JALGAON,2020-11-01,6429,7105.381129262296,6060.574264644112,8150.18799388048
JALGAON,2020-12-01,7344,7054.790231137533,5991.304200623077,8118.2762616519885
JALGAON,2021-01-01,7376,7101.882822477072,6020.040093682583,8183.725551271562
JALGAON,2021-02-01,7683,7115.068748052144,6015.1756429771,8214.961853127186
JALGAON,2021-03-01,6301,7105.381129262296,5987.729128262998,8223.033130261594
JALNA,2020-06-01,3865,3575.6821642497544,1049.863879067762,6101.500449431747
JALNA,2020-07-01,3234,1745.879762684153,-1798.1455242868526,5289.905049655159
JALNA,2020-08-01,3247,1540.391719555726,-2003.6335674152797,5084.417006526732
JALNA,2020-09-01,3401,1683.8792475377184,-1860.1460394332873,5227.904534508724
JALNA,2020-10-01,3244,1638.89226890713,-1905.1330180638756,5182.917555878135
JALNA,2020-11-01,3164,1960.8489093548376,-1583.176377616168,5504.8741963258435
JALNA,2020-12-01,3529,1615.8900357830591,-1928.1352511879466,5159.915322754065
JALNA,2021-01-01,3637,1787.384984756651,-1756.6403022143543,5331.410271727656
JALNA,2021-02-01,3715,1862.626060363582,-1681.3992266074238,5406.651347334588
JALNA,2021-03-01,3560,1810.3420114970554,-1698.65169266477,5319.335715658881
KOLHAPUR,2020-06-01,4861,2159.6146250622483,-3231.494116615849,7550.723366740345
KOLHAPUR,2020-07-01,4670,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2020-08-01,4437,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2020-09-01,5026,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2020-10-01,4973,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2020-11-01,4789,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2020-12-01,5795,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2021-01-01,5111,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2021-02-01,5237,0.0,-7528.27267997187,7528.27267997187
KOLHAPUR,2021-03-01,4708,0.0,-7528.27267997187,7528.27267997187
LATUR,2020-06-01,3989,1894.9999999885883,-3048.5726350204777,6838.572634997655
LATUR,2020-07-01,3694,1672.7499999916306,-3270.8226350174355,6616.322635000697
LATUR,2020-08-01,3498,1954.9999999870852,-2988.572635021981,6898.5726349961515
LATUR,2020-09-01,3654,1880.99999998823,-3062.572635020836,6824.5726349972965
LATUR,2020-10-01,3751,1805.499999989727,-3138.072635019339,6749.072634998794
LATUR,2020-11-01,3673,2031.4999999865242,-2912.0726350225423,6975.07263499559
LATUR,2020-12-01,4091,2135.749999985781,-2807.8226350232853,7079.322634994847
LATUR,2021-01-01,4179,2064.999999987528,-2878.572635021538,7008.572634996594
LATUR,2021-02-01,4416,1906.2499999891215,-3037.3226350199448,6849.822634998188
LATUR,2021-03-01,4366,1756.9999999901715,-3186.5726350188947,6700.572634999238
MUMBAI,2020-06-01,2613,1860.4850864508494,-3427.762575477465,7148.732748379163
MUMBAI,2020-07-01,2916,1518.3032017699834,-5960.408362916849,8997.014766456816
MUMBAI,2020-08-01,2676,1816.3611665722708,-7343.152466894893,10975.874800039435
MUMBAI,2020-09-01,3035,1934.2021574126518,-8642.293166443977,12510.69748126928
MUMBAI,2020-10-01,2924,2140.4681925076948,-9684.413061418343,13965.349446433733
MUMBAI,2020-11-01,3608,1789.426082951612,-11164.082322238919,14742.934488142142
MUMBAI,2020-12-01,4419,1811.2222361446447,-12180.165948636448,15802.61042092574
MUMBAI,2021-01-01,4239,1868.1048798435356,-13089.31824953013,16825.5280092172
MUMBAI,2021-02-01,4034,2095.6354546390985,-13769.107531145844,17960.378440424043
MUMBAI,2021-03-01,4119,2727.5466927395482,-13995.360750014026,19450.45413549312
NAGPUR,2020-06-01,7368,7862.249667480507,6417.7646294663255,9306.73470549469
NAGPUR,2020-07-01,7018,7823.689385368605,5785.882362528121,9861.496408209088
NAGPUR,2020-08-01,5585,7785.318221565003,5295.627259527261,10275.009183602746
NAGPUR,2020-09-01,5078,7747.135248541878,4879.305805009417,10614.96469207434
NAGPUR,2020-10-01,5618,7709.139543320453,4510.623131183803,10907.655955457103
NAGPUR,2020-11-01,6429,7671.330187448686,4176.056289963444,11166.604084933928
NAGPUR,2020-12-01,7872,7633.706266979068,3867.5497479425753,11399.86278601556
NAGPUR,2021-01-01,7618,7596.266872446531,3579.840183070893,11612.693561822169
NAGPUR,2021-02-01,8330,7559.011098846467,3309.2613152363165,11808.760882456616
NAGPUR,2021-03-01,8796,7521.9380456128465,3053.136077668568,11990.740013557126
NANDED,2020-06-01,5423,5871.461342230706,5063.2089762522,6679.713708209211
NANDED,2020-07-01,5261,5985.160440755302,5176.908074776797,6793.412806733808
NANDED,2020-08-01,4984,5573.250548731982,4764.998182753477,6381.502914710488
NANDED,2020-09-01,5871,5529.366686143542,4721.114320165037,6337.619052122048
NANDED,2020-10-01,5214,5268.058231639644,4459.805865661138,6076.31059761815
NANDED,2020-11-01,5237,5221.182287511083,4412.929921532577,6029.4346534895885
NANDED,2020-12-01,6097,5168.322180302279,4360.069814323773,5976.5745462807845
NANDED,2021-01-01,5865,6053.978316178084,5245.725950199579,6862.23068215659
NANDED,2021-02-01,6268,5812.61707194166,5004.364705963154,6620.869437920165
NANDED,2021-03-01,5883,5286.01072088037,4477.758354901865,6094.263086858876
NANDURBAR,2020-06-01,4043,4389.918835059665,3926.87857080519,4852.95909931414
NANDURBAR,2020-07-01,3577,4207.539700160069,3566.587872427659,4848.491527892478
NANDURBAR,2020-08-01,2901,3483.4641763850095,2714.9039618960787,4252.02439087394
NANDURBAR,2020-09-01,3040,3577.1029341753115,2708.007387502693,4446.19848084793
NANDURBAR,2020-10-01,2588,3612.79527227456,2660.976968155809,4564.613576393311
NANDURBAR,2020-11-01,2581,3071.310799171445,2049.700921402057,4092.9206769408333
NANDURBAR,2020-12-01,2989,3508.508125549561,2427.061429687255,4589.954821411868
NANDURBAR,2021-01-01,2803,3513.3344483867495,2380.0184650469846,4646.650431726514
