district,date,actual,forecast,model_params
GADCHIROLI,2021-02-01,235,363.2677863116186,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GADCHIROLI,2021-03-01,272,366.01038920919984,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DC9590>
GONDIA,2020-06-01,261,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2020-07-01,335,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2020-08-01,304,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2020-09-01,282,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2020-10-01,335,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2020-11-01,425,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2020-12-01,365,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2021-01-01,314,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2021-02-01,254,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
GONDIA,2021-03-01,336,262.010953783338,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB10DD9C10>
HINGOLI,2020-06-01,91,107.89933870394927,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2020-07-01,138,99.02175839919208,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2020-08-01,86,90.57062647403768,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2020-09-01,165,82.29120609545353,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2020-10-01,164,74.19291181927632,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2020-11-01,125,66.28650143366164,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2020-12-01,79,58.58440744254271,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2021-01-01,296,51.1011919162248,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2021-02-01,102,43.85418962372215,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
HINGOLI,2021-03-01,126,36.86445110468012,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB0D618B90>
JALGAON,2020-06-01,281,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2020-07-01,244,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2020-08-01,292,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2020-09-01,362,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2020-10-01,415,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2020-11-01,469,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2020-12-01,593,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2021-01-01,340,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2021-02-01,239,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALGAON,2021-03-01,243,366.45566689830054,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB1147FCD0>
JALNA,2020-06-01,159,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2020-07-01,260,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2020-08-01,218,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2020-09-01,164,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2020-10-01,226,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2020-11-01,211,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2020-12-01,163,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2021-01-01,184,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2021-02-01,166,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
JALNA,2021-03-01,149,281.38909345148716,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB114793D0>
KOLHAPUR,2020-06-01,356,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2020-07-01,383,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2020-08-01,292,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2020-09-01,390,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2020-10-01,332,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2020-11-01,381,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2020-12-01,365,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2021-01-01,395,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2021-02-01,621,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
KOLHAPUR,2021-03-01,408,383.5187247598044,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB12405A50>
LATUR,2020-06-01,371,296.20140564060137,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2020-07-01,345,295.49541149838745,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2020-08-01,387,294.89429538263767,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2020-09-01,426,294.3823112408276,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
LATUR,2020-10-01,448,293.94612209929454,<tbats.tbats.ModelParams.ModelParams object at 0x000001CB11DC4ED0>
